"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,25,3,28,2021-09-07
"20 - 24",3,2,56,0,61,2021-09-07
"25 - 29",5,6,112,7,130,2021-09-07
"30 - 34",7,9,186,7,209,2021-09-07
"35 - 39",6,13,230,15,264,2021-09-07
"40 - 44",5,13,334,30,382,2021-09-07
"45 - 49",10,11,635,67,723,2021-09-07
"50 - 54",15,25,1059,148,1247,2021-09-07
"55 - 59",14,29,1437,261,1741,2021-09-07
"60 - 64",21,30,1527,469,2047,2021-09-07
"65 - 69",10,33,1527,736,2306,2021-09-07
"70 - 74",11,23,1345,1014,2393,2021-09-07
"75 - 79",3,16,673,705,1397,2021-09-07
"80 - 84",3,2,141,230,376,2021-09-07
"85 - 89",2,1,18,38,59,2021-09-07
">90",0,0,3,2,5,2021-09-07
