"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,27,3,30,2021-10-08
"20 - 24",3,0,61,0,64,2021-10-08
"25 - 29",6,5,118,7,136,2021-10-08
"30 - 34",4,2,212,7,225,2021-10-08
"35 - 39",6,7,246,17,276,2021-10-08
"40 - 44",7,10,350,32,399,2021-10-08
"45 - 49",8,3,659,70,740,2021-10-08
"50 - 54",19,14,1084,158,1275,2021-10-08
"55 - 59",18,14,1472,272,1776,2021-10-08
"60 - 64",27,18,1561,479,2085,2021-10-08
"65 - 69",9,24,1556,750,2339,2021-10-08
"70 - 74",10,24,1372,1026,2432,2021-10-08
"75 - 79",7,11,680,715,1413,2021-10-08
"80 - 84",1,3,144,235,383,2021-10-08
"85 - 89",0,0,19,40,59,2021-10-08
">90",0,0,3,2,5,2021-10-08
