"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,28,3,31,2021-10-31
"20 - 24",3,1,61,0,65,2021-10-31
"25 - 29",5,3,126,8,142,2021-10-31
"30 - 34",0,5,219,7,231,2021-10-31
"35 - 39",5,6,262,18,291,2021-10-31
"40 - 44",2,13,369,33,417,2021-10-31
"45 - 49",10,8,669,70,757,2021-10-31
"50 - 54",11,20,1107,163,1301,2021-10-31
"55 - 59",16,21,1498,274,1809,2021-10-31
"60 - 64",19,24,1592,492,2127,2021-10-31
"65 - 69",18,43,1570,762,2393,2021-10-31
"70 - 74",12,41,1387,1043,2483,2021-10-31
"75 - 79",12,23,688,724,1447,2021-10-31
"80 - 84",4,1,149,244,398,2021-10-31
"85 - 89",1,0,19,41,61,2021-10-31
">90",0,0,3,2,5,2021-10-31
