"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,4,28,4,37,2021-11-30
"20 - 24",5,5,66,0,76,2021-11-30
"25 - 29",5,5,136,8,154,2021-11-30
"30 - 34",11,12,237,7,267,2021-11-30
"35 - 39",7,17,294,19,337,2021-11-30
"40 - 44",10,16,393,34,453,2021-11-30
"45 - 49",16,34,704,75,829,2021-11-30
"50 - 54",27,50,1153,164,1394,2021-11-30
"55 - 59",37,74,1543,287,1941,2021-11-30
"60 - 64",49,101,1652,525,2327,2021-11-30
"65 - 69",33,111,1628,819,2591,2021-11-30
"70 - 74",27,92,1428,1113,2660,2021-11-30
"75 - 79",26,52,717,775,1570,2021-11-30
"80 - 84",9,4,158,254,425,2021-11-30
"85 - 89",0,0,21,44,65,2021-11-30
">90",0,0,3,2,5,2021-11-30
