"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,2,42,6,50,2022-03-16
"20 - 24",5,3,98,0,106,2022-03-16
"25 - 29",5,0,173,11,189,2022-03-16
"30 - 34",6,1,304,11,322,2022-03-16
"35 - 39",4,3,387,24,418,2022-03-16
"40 - 44",4,7,480,45,536,2022-03-16
"45 - 49",9,7,861,88,965,2022-03-16
"50 - 54",19,11,1360,204,1594,2022-03-16
"55 - 59",21,16,1828,356,2221,2022-03-16
"60 - 64",28,26,1972,633,2659,2022-03-16
"65 - 69",32,28,1912,978,2950,2022-03-16
"70 - 74",29,34,1658,1282,3003,2022-03-16
"75 - 79",20,19,862,910,1811,2022-03-16
"80 - 84",5,5,194,285,489,2022-03-16
"85 - 89",0,0,32,49,81,2022-03-16
">90",0,1,3,3,7,2022-03-16
