"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,25,3,29,2021-09-20
"20 - 24",4,1,58,0,63,2021-09-20
"25 - 29",3,3,117,7,130,2021-09-20
"30 - 34",4,8,201,7,220,2021-09-20
"35 - 39",4,11,238,15,268,2021-09-20
"40 - 44",4,11,342,30,387,2021-09-20
"45 - 49",7,14,646,68,735,2021-09-20
"50 - 54",14,31,1069,151,1265,2021-09-20
"55 - 59",13,27,1451,266,1757,2021-09-20
"60 - 64",19,33,1546,472,2070,2021-09-20
"65 - 69",12,30,1537,743,2322,2021-09-20
"70 - 74",12,22,1357,1019,2410,2021-09-20
"75 - 79",4,13,675,709,1401,2021-09-20
"80 - 84",2,1,143,232,378,2021-09-20
"85 - 89",0,0,19,40,59,2021-09-20
">90",0,0,3,2,5,2021-09-20
