"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,25,3,28,2021-08-26
"20 - 24",5,0,54,0,59,2021-08-26
"25 - 29",5,4,108,7,124,2021-08-26
"30 - 34",2,8,180,6,196,2021-08-26
"35 - 39",5,9,222,15,251,2021-08-26
"40 - 44",2,13,330,28,373,2021-08-26
"45 - 49",11,13,624,67,715,2021-08-26
"50 - 54",18,32,1038,145,1233,2021-08-26
"55 - 59",8,22,1429,260,1719,2021-08-26
"60 - 64",11,35,1516,463,2025,2021-08-26
"65 - 69",18,34,1509,732,2293,2021-08-26
"70 - 74",17,18,1335,1005,2375,2021-08-26
"75 - 79",5,17,670,695,1387,2021-08-26
"80 - 84",0,4,141,228,373,2021-08-26
"85 - 89",0,1,18,38,57,2021-08-26
">90",0,0,3,2,5,2021-08-26
