"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,46,7,56,2022-06-28
"20 - 24",5,0,108,0,113,2022-06-28
"25 - 29",4,0,183,12,199,2022-06-28
"30 - 34",4,1,317,13,335,2022-06-28
"35 - 39",3,2,397,26,428,2022-06-28
"40 - 44",5,1,503,49,558,2022-06-28
"45 - 49",5,3,888,91,987,2022-06-28
"50 - 54",10,4,1401,214,1629,2022-06-28
"55 - 59",23,7,1888,372,2290,2022-06-28
"60 - 64",9,11,2063,670,2753,2022-06-28
"65 - 69",25,6,2022,1010,3063,2022-06-28
"70 - 74",18,4,1755,1338,3115,2022-06-28
"75 - 79",19,5,943,944,1911,2022-06-28
"80 - 84",9,2,229,304,544,2022-06-28
"85 - 89",1,1,46,54,102,2022-06-28
">90",0,0,7,5,12,2022-06-28
