"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,56,7,65,2022-11-18
"20 - 24",4,1,116,3,124,2022-11-18
"25 - 29",2,0,194,13,209,2022-11-18
"30 - 34",3,0,330,14,347,2022-11-18
"35 - 39",4,1,412,26,443,2022-11-18
"40 - 44",4,0,525,52,581,2022-11-18
"45 - 49",3,0,907,97,1007,2022-11-18
"50 - 54",9,0,1438,221,1668,2022-11-18
"55 - 59",13,3,1942,386,2344,2022-11-18
"60 - 64",12,7,2120,687,2826,2022-11-18
"65 - 69",21,6,2090,1041,3158,2022-11-18
"70 - 74",17,10,1846,1372,3245,2022-11-18
"75 - 79",17,6,1018,980,2021,2022-11-18
"80 - 84",17,2,270,322,611,2022-11-18
"85 - 89",4,1,59,62,126,2022-11-18
">90",0,0,13,9,22,2022-11-18
