"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,62,8,71,2023-01-18
"20 - 24",2,0,120,2,124,2023-01-18
"25 - 29",0,0,197,13,210,2023-01-18
"30 - 34",3,0,332,14,349,2023-01-18
"35 - 39",2,0,421,27,450,2023-01-18
"40 - 44",0,2,531,53,586,2023-01-18
"45 - 49",2,0,917,97,1016,2023-01-18
"50 - 54",9,3,1453,229,1694,2023-01-18
"55 - 59",10,6,1966,394,2376,2023-01-18
"60 - 64",9,8,2160,692,2869,2023-01-18
"65 - 69",16,10,2135,1063,3224,2023-01-18
"70 - 74",18,8,1893,1388,3307,2023-01-18
"75 - 79",16,10,1058,997,2081,2023-01-18
"80 - 84",8,3,300,335,646,2023-01-18
"85 - 89",2,1,64,69,136,2023-01-18
">90",0,1,15,9,25,2023-01-18
