"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,1,46,6,55,2022-05-30
"20 - 24",4,0,107,0,111,2022-05-30
"25 - 29",4,0,181,11,196,2022-05-30
"30 - 34",6,0,313,13,332,2022-05-30
"35 - 39",3,1,397,26,427,2022-05-30
"40 - 44",9,0,497,48,554,2022-05-30
"45 - 49",7,1,886,91,985,2022-05-30
"50 - 54",18,1,1392,213,1624,2022-05-30
"55 - 59",26,6,1873,369,2274,2022-05-30
"60 - 64",16,6,2052,665,2739,2022-05-30
"65 - 69",26,8,2004,1007,3045,2022-05-30
"70 - 74",17,8,1751,1331,3107,2022-05-30
"75 - 79",21,1,932,942,1896,2022-05-30
"80 - 84",5,1,227,302,535,2022-05-30
"85 - 89",0,0,46,51,97,2022-05-30
">90",0,0,7,5,12,2022-05-30
