"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,26,3,29,2021-09-26
"20 - 24",5,0,58,0,63,2021-09-26
"25 - 29",4,3,117,7,131,2021-09-26
"30 - 34",6,4,206,7,223,2021-09-26
"35 - 39",4,10,241,15,270,2021-09-26
"40 - 44",3,13,346,30,392,2021-09-26
"45 - 49",15,9,645,69,738,2021-09-26
"50 - 54",20,25,1072,153,1270,2021-09-26
"55 - 59",13,27,1456,268,1764,2021-09-26
"60 - 64",19,28,1551,474,2072,2021-09-26
"65 - 69",17,25,1540,744,2326,2021-09-26
"70 - 74",9,24,1362,1020,2415,2021-09-26
"75 - 79",7,11,675,711,1404,2021-09-26
"80 - 84",2,2,143,232,379,2021-09-26
"85 - 89",0,0,19,40,59,2021-09-26
">90",0,0,3,2,5,2021-09-26
