"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,62,8,71,2023-01-27
"20 - 24",2,0,120,2,124,2023-01-27
"25 - 29",0,0,198,13,211,2023-01-27
"30 - 34",2,0,333,14,349,2023-01-27
"35 - 39",2,1,421,27,451,2023-01-27
"40 - 44",0,2,531,53,586,2023-01-27
"45 - 49",3,0,917,97,1017,2023-01-27
"50 - 54",9,1,1455,229,1694,2023-01-27
"55 - 59",9,4,1971,394,2378,2023-01-27
"60 - 64",11,5,2161,693,2870,2023-01-27
"65 - 69",12,3,2144,1066,3225,2023-01-27
"70 - 74",17,5,1900,1389,3311,2023-01-27
"75 - 79",17,5,1065,999,2086,2023-01-27
"80 - 84",9,3,303,337,652,2023-01-27
"85 - 89",5,2,63,69,139,2023-01-27
">90",1,0,15,9,25,2023-01-27
