"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,4,33,4,42,2021-12-26
"20 - 24",5,3,75,0,83,2021-12-26
"25 - 29",6,4,147,9,166,2021-12-26
"30 - 34",16,9,264,10,299,2021-12-26
"35 - 39",14,11,329,20,374,2021-12-26
"40 - 44",13,16,423,38,490,2021-12-26
"45 - 49",26,36,763,82,907,2021-12-26
"50 - 54",33,53,1235,174,1495,2021-12-26
"55 - 59",57,77,1636,309,2079,2021-12-26
"60 - 64",46,102,1769,567,2484,2021-12-26
"65 - 69",46,93,1726,876,2741,2021-12-26
"70 - 74",53,82,1499,1184,2818,2021-12-26
"75 - 79",29,48,762,835,1674,2021-12-26
"80 - 84",5,4,163,269,441,2021-12-26
"85 - 89",0,1,24,45,70,2021-12-26
">90",0,0,3,3,6,2021-12-26
