"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,3,37,5,46,2022-02-01
"20 - 24",3,3,82,0,88,2022-02-01
"25 - 29",3,5,161,10,179,2022-02-01
"30 - 34",3,4,289,11,307,2022-02-01
"35 - 39",9,5,367,21,402,2022-02-01
"40 - 44",7,8,458,40,513,2022-02-01
"45 - 49",18,14,820,87,939,2022-02-01
"50 - 54",34,20,1312,192,1558,2022-02-01
"55 - 59",34,28,1751,342,2155,2022-02-01
"60 - 64",30,34,1900,609,2573,2022-02-01
"65 - 69",42,41,1831,939,2853,2022-02-01
"70 - 74",31,31,1584,1254,2900,2022-02-01
"75 - 79",18,18,819,874,1729,2022-02-01
"80 - 84",7,2,178,273,460,2022-02-01
"85 - 89",1,0,27,47,75,2022-02-01
">90",0,0,4,3,7,2022-02-01
