"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,51,7,61,2022-09-19
"20 - 24",4,0,113,1,118,2022-09-19
"25 - 29",1,0,191,12,204,2022-09-19
"30 - 34",4,0,324,14,342,2022-09-19
"35 - 39",2,0,406,26,434,2022-09-19
"40 - 44",5,1,514,50,570,2022-09-19
"45 - 49",2,1,899,94,996,2022-09-19
"50 - 54",8,4,1422,219,1653,2022-09-19
"55 - 59",9,2,1926,382,2319,2022-09-19
"60 - 64",11,7,2091,681,2790,2022-09-19
"65 - 69",19,8,2056,1026,3109,2022-09-19
"70 - 74",14,3,1804,1348,3169,2022-09-19
"75 - 79",7,2,989,961,1959,2022-09-19
"80 - 84",10,0,249,314,573,2022-09-19
"85 - 89",3,0,51,56,110,2022-09-19
">90",1,0,9,7,17,2022-09-19
