"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,3,32,4,41,2021-12-20
"20 - 24",6,4,73,0,83,2021-12-20
"25 - 29",7,4,146,9,166,2021-12-20
"30 - 34",9,17,259,9,294,2021-12-20
"35 - 39",12,16,321,19,368,2021-12-20
"40 - 44",14,18,416,37,485,2021-12-20
"45 - 49",27,44,745,80,896,2021-12-20
"50 - 54",36,57,1213,172,1478,2021-12-20
"55 - 59",50,88,1622,301,2061,2021-12-20
"60 - 64",45,114,1739,560,2458,2021-12-20
"65 - 69",67,99,1694,865,2725,2021-12-20
"70 - 74",52,92,1479,1172,2795,2021-12-20
"75 - 79",31,52,752,823,1658,2021-12-20
"80 - 84",11,1,161,265,438,2021-12-20
"85 - 89",2,1,23,44,70,2021-12-20
">90",0,0,3,3,6,2021-12-20
