"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,26,3,30,2021-10-03
"20 - 24",4,0,60,0,64,2021-10-03
"25 - 29",6,4,117,7,134,2021-10-03
"30 - 34",3,3,210,7,223,2021-10-03
"35 - 39",8,8,242,15,273,2021-10-03
"40 - 44",7,11,346,32,396,2021-10-03
"45 - 49",10,4,655,69,738,2021-10-03
"50 - 54",18,16,1081,155,1270,2021-10-03
"55 - 59",18,16,1462,271,1767,2021-10-03
"60 - 64",23,24,1555,476,2078,2021-10-03
"65 - 69",13,22,1549,748,2332,2021-10-03
"70 - 74",14,20,1367,1021,2422,2021-10-03
"75 - 79",9,12,676,713,1410,2021-10-03
"80 - 84",2,0,144,234,380,2021-10-03
"85 - 89",0,0,19,40,59,2021-10-03
">90",0,0,3,2,5,2021-10-03
