"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,23,3,27,2021-08-16
"20 - 24",4,2,53,0,59,2021-08-16
"25 - 29",7,6,103,7,123,2021-08-16
"30 - 34",4,4,174,6,188,2021-08-16
"35 - 39",9,10,210,14,243,2021-08-16
"40 - 44",9,7,319,27,362,2021-08-16
"45 - 49",13,13,611,67,704,2021-08-16
"50 - 54",16,26,1026,145,1213,2021-08-16
"55 - 59",14,21,1410,256,1701,2021-08-16
"60 - 64",15,26,1504,459,2004,2021-08-16
"65 - 69",7,40,1503,726,2276,2021-08-16
"70 - 74",12,29,1327,1000,2368,2021-08-16
"75 - 79",8,18,661,691,1378,2021-08-16
"80 - 84",1,1,140,227,369,2021-08-16
"85 - 89",1,0,17,38,56,2021-08-16
">90",0,0,3,2,5,2021-08-16
