"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,56,7,65,2022-11-17
"20 - 24",4,0,116,3,123,2022-11-17
"25 - 29",2,0,194,13,209,2022-11-17
"30 - 34",3,0,330,14,347,2022-11-17
"35 - 39",4,2,411,26,443,2022-11-17
"40 - 44",4,0,525,52,581,2022-11-17
"45 - 49",3,0,907,97,1007,2022-11-17
"50 - 54",9,0,1438,221,1668,2022-11-17
"55 - 59",13,2,1942,386,2343,2022-11-17
"60 - 64",12,7,2120,687,2826,2022-11-17
"65 - 69",21,5,2090,1041,3157,2022-11-17
"70 - 74",17,11,1845,1372,3245,2022-11-17
"75 - 79",17,7,1017,980,2021,2022-11-17
"80 - 84",17,2,270,322,611,2022-11-17
"85 - 89",4,1,59,62,126,2022-11-17
">90",0,0,13,9,22,2022-11-17
