"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,56,7,65,2022-11-22
"20 - 24",4,0,116,3,123,2022-11-22
"25 - 29",2,0,194,13,209,2022-11-22
"30 - 34",3,0,330,14,347,2022-11-22
"35 - 39",3,3,412,26,444,2022-11-22
"40 - 44",2,0,527,52,581,2022-11-22
"45 - 49",3,0,907,98,1008,2022-11-22
"50 - 54",9,0,1438,221,1668,2022-11-22
"55 - 59",13,4,1943,386,2346,2022-11-22
"60 - 64",14,5,2120,687,2826,2022-11-22
"65 - 69",24,6,2092,1041,3163,2022-11-22
"70 - 74",18,10,1847,1372,3247,2022-11-22
"75 - 79",18,9,1018,980,2025,2022-11-22
"80 - 84",14,1,274,323,612,2022-11-22
"85 - 89",3,1,60,62,126,2022-11-22
">90",0,0,13,9,22,2022-11-22
