"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,2,28,4,34,2021-11-23
"20 - 24",5,3,65,0,73,2021-11-23
"25 - 29",5,5,133,8,151,2021-11-23
"30 - 34",12,5,228,7,252,2021-11-23
"35 - 39",8,15,282,20,325,2021-11-23
"40 - 44",14,17,381,33,445,2021-11-23
"45 - 49",13,26,694,73,806,2021-11-23
"50 - 54",30,37,1135,164,1366,2021-11-23
"55 - 59",26,59,1530,282,1897,2021-11-23
"60 - 64",33,89,1630,515,2267,2021-11-23
"65 - 69",28,93,1612,797,2530,2021-11-23
"70 - 74",21,86,1417,1089,2613,2021-11-23
"75 - 79",20,54,706,754,1534,2021-11-23
"80 - 84",8,5,156,251,420,2021-11-23
"85 - 89",1,3,20,42,66,2021-11-23
">90",0,0,3,2,5,2021-11-23
