"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,46,6,54,2022-04-22
"20 - 24",5,0,106,0,111,2022-04-22
"25 - 29",4,0,178,11,193,2022-04-22
"30 - 34",7,1,311,13,332,2022-04-22
"35 - 39",3,0,395,26,424,2022-04-22
"40 - 44",8,6,493,47,554,2022-04-22
"45 - 49",9,4,877,92,982,2022-04-22
"50 - 54",16,6,1387,212,1621,2022-04-22
"55 - 59",27,9,1858,366,2260,2022-04-22
"60 - 64",20,13,2029,655,2717,2022-04-22
"65 - 69",33,18,1978,995,3024,2022-04-22
"70 - 74",25,16,1721,1319,3081,2022-04-22
"75 - 79",23,12,909,934,1878,2022-04-22
"80 - 84",10,7,215,296,528,2022-04-22
"85 - 89",1,2,42,50,95,2022-04-22
">90",0,0,6,4,10,2022-04-22
