"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,62,8,71,2023-01-30
"20 - 24",2,0,120,2,124,2023-01-30
"25 - 29",0,0,198,13,211,2023-01-30
"30 - 34",2,1,333,14,350,2023-01-30
"35 - 39",3,0,421,27,451,2023-01-30
"40 - 44",0,2,531,53,586,2023-01-30
"45 - 49",3,0,917,97,1017,2023-01-30
"50 - 54",9,1,1455,229,1694,2023-01-30
"55 - 59",8,5,1972,394,2379,2023-01-30
"60 - 64",11,4,2162,693,2870,2023-01-30
"65 - 69",11,3,2144,1066,3224,2023-01-30
"70 - 74",16,5,1901,1389,3311,2023-01-30
"75 - 79",16,4,1066,999,2085,2023-01-30
"80 - 84",9,4,304,337,654,2023-01-30
"85 - 89",5,2,63,69,139,2023-01-30
">90",1,0,15,9,25,2023-01-30
