"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,62,8,70,2023-01-04
"20 - 24",2,0,120,2,124,2023-01-04
"25 - 29",0,0,196,13,209,2023-01-04
"30 - 34",2,1,332,14,349,2023-01-04
"35 - 39",4,1,418,26,449,2023-01-04
"40 - 44",1,2,529,53,585,2023-01-04
"45 - 49",2,1,914,98,1015,2023-01-04
"50 - 54",8,2,1450,226,1686,2023-01-04
"55 - 59",7,8,1963,392,2370,2023-01-04
"60 - 64",15,9,2146,689,2859,2023-01-04
"65 - 69",12,12,2128,1056,3208,2023-01-04
"70 - 74",10,12,1883,1381,3286,2023-01-04
"75 - 79",15,12,1048,993,2068,2023-01-04
"80 - 84",8,1,296,335,640,2023-01-04
"85 - 89",2,1,64,64,131,2023-01-04
">90",0,0,15,9,24,2023-01-04
