"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,59,7,68,2022-12-23
"20 - 24",4,0,117,2,123,2022-12-23
"25 - 29",1,0,195,13,209,2022-12-23
"30 - 34",3,1,330,14,348,2022-12-23
"35 - 39",3,1,417,26,447,2022-12-23
"40 - 44",2,1,527,53,583,2022-12-23
"45 - 49",4,2,911,97,1014,2022-12-23
"50 - 54",9,3,1444,226,1682,2022-12-23
"55 - 59",10,5,1954,391,2360,2022-12-23
"60 - 64",11,7,2140,689,2847,2022-12-23
"65 - 69",19,4,2114,1055,3192,2022-12-23
"70 - 74",13,13,1866,1378,3270,2022-12-23
"75 - 79",17,9,1039,990,2055,2022-12-23
"80 - 84",13,3,285,329,630,2022-12-23
"85 - 89",6,0,61,62,129,2022-12-23
">90",0,0,15,9,24,2022-12-23
