"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,23,3,27,2021-08-19
"20 - 24",4,1,53,0,58,2021-08-19
"25 - 29",5,5,106,7,123,2021-08-19
"30 - 34",2,6,176,6,190,2021-08-19
"35 - 39",12,5,212,15,244,2021-08-19
"40 - 44",3,8,325,27,363,2021-08-19
"45 - 49",10,12,616,67,705,2021-08-19
"50 - 54",13,30,1030,145,1218,2021-08-19
"55 - 59",15,23,1413,256,1707,2021-08-19
"60 - 64",12,28,1510,459,2009,2021-08-19
"65 - 69",12,40,1503,727,2282,2021-08-19
"70 - 74",14,25,1329,1001,2369,2021-08-19
"75 - 79",10,16,663,691,1380,2021-08-19
"80 - 84",0,0,141,228,369,2021-08-19
"85 - 89",0,1,18,38,57,2021-08-19
">90",0,0,3,2,5,2021-08-19
