"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,3,31,3,38,2021-12-04
"20 - 24",5,5,68,0,78,2021-12-04
"25 - 29",7,3,137,9,156,2021-12-04
"30 - 34",9,14,242,7,272,2021-12-04
"35 - 39",9,18,298,19,344,2021-12-04
"40 - 44",9,21,399,34,463,2021-12-04
"45 - 49",19,39,712,77,847,2021-12-04
"50 - 54",29,54,1167,164,1414,2021-12-04
"55 - 59",36,90,1560,290,1976,2021-12-04
"60 - 64",46,93,1672,539,2350,2021-12-04
"65 - 69",48,103,1636,829,2616,2021-12-04
"70 - 74",35,97,1440,1132,2704,2021-12-04
"75 - 79",23,53,725,789,1590,2021-12-04
"80 - 84",8,4,159,257,428,2021-12-04
"85 - 89",1,0,21,44,66,2021-12-04
">90",0,0,3,2,5,2021-12-04
