"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,3,32,4,41,2021-12-21
"20 - 24",5,3,74,0,82,2021-12-21
"25 - 29",7,4,146,9,166,2021-12-21
"30 - 34",9,17,260,9,295,2021-12-21
"35 - 39",6,15,327,19,367,2021-12-21
"40 - 44",15,17,416,37,485,2021-12-21
"45 - 49",24,41,750,81,896,2021-12-21
"50 - 54",35,58,1220,173,1486,2021-12-21
"55 - 59",50,83,1625,306,2064,2021-12-21
"60 - 64",45,110,1744,561,2460,2021-12-21
"65 - 69",63,102,1700,869,2734,2021-12-21
"70 - 74",51,87,1485,1173,2796,2021-12-21
"75 - 79",31,52,755,827,1665,2021-12-21
"80 - 84",9,3,161,266,439,2021-12-21
"85 - 89",1,0,24,44,69,2021-12-21
">90",0,0,3,3,6,2021-12-21
