"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,4,31,3,39,2021-12-05
"20 - 24",6,4,68,0,78,2021-12-05
"25 - 29",8,2,137,9,156,2021-12-05
"30 - 34",10,14,242,7,273,2021-12-05
"35 - 39",8,18,300,19,345,2021-12-05
"40 - 44",10,21,399,34,464,2021-12-05
"45 - 49",20,38,712,77,847,2021-12-05
"50 - 54",29,56,1168,164,1417,2021-12-05
"55 - 59",39,91,1561,290,1981,2021-12-05
"60 - 64",51,91,1674,539,2355,2021-12-05
"65 - 69",48,106,1638,829,2621,2021-12-05
"70 - 74",33,97,1442,1134,2706,2021-12-05
"75 - 79",27,45,725,794,1591,2021-12-05
"80 - 84",8,6,159,257,430,2021-12-05
"85 - 89",1,0,21,44,66,2021-12-05
">90",0,0,3,2,5,2021-12-05
