"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,37,6,45,2022-02-09
"20 - 24",8,3,84,0,95,2022-02-09
"25 - 29",2,4,165,11,182,2022-02-09
"30 - 34",6,3,288,11,308,2022-02-09
"35 - 39",9,5,371,21,406,2022-02-09
"40 - 44",9,5,462,42,518,2022-02-09
"45 - 49",18,11,828,88,945,2022-02-09
"50 - 54",31,18,1321,194,1564,2022-02-09
"55 - 59",38,33,1760,344,2175,2022-02-09
"60 - 64",31,35,1910,613,2589,2022-02-09
"65 - 69",43,37,1842,949,2871,2022-02-09
"70 - 74",34,31,1595,1256,2916,2022-02-09
"75 - 79",19,20,825,880,1744,2022-02-09
"80 - 84",7,5,181,274,467,2022-02-09
"85 - 89",1,0,28,47,76,2022-02-09
">90",0,0,4,3,7,2022-02-09
