"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,26,3,29,2021-09-25
"20 - 24",5,0,58,0,63,2021-09-25
"25 - 29",4,3,117,7,131,2021-09-25
"30 - 34",6,3,206,7,222,2021-09-25
"35 - 39",4,10,241,15,270,2021-09-25
"40 - 44",2,14,346,30,392,2021-09-25
"45 - 49",14,10,645,69,738,2021-09-25
"50 - 54",20,23,1072,153,1268,2021-09-25
"55 - 59",12,28,1456,268,1764,2021-09-25
"60 - 64",19,26,1551,474,2070,2021-09-25
"65 - 69",15,28,1540,743,2326,2021-09-25
"70 - 74",10,23,1361,1020,2414,2021-09-25
"75 - 79",7,11,675,711,1404,2021-09-25
"80 - 84",2,2,143,232,379,2021-09-25
"85 - 89",0,0,19,40,59,2021-09-25
">90",0,0,3,2,5,2021-09-25
