"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,23,3,27,2021-08-14
"20 - 24",3,3,53,0,59,2021-08-14
"25 - 29",6,6,101,7,120,2021-08-14
"30 - 34",5,3,173,6,187,2021-08-14
"35 - 39",7,9,210,14,240,2021-08-14
"40 - 44",9,6,318,27,360,2021-08-14
"45 - 49",10,15,611,66,702,2021-08-14
"50 - 54",18,24,1023,145,1210,2021-08-14
"55 - 59",14,19,1408,256,1697,2021-08-14
"60 - 64",13,23,1505,458,1999,2021-08-14
"65 - 69",7,39,1500,726,2272,2021-08-14
"70 - 74",11,28,1327,1000,2366,2021-08-14
"75 - 79",7,18,661,690,1376,2021-08-14
"80 - 84",1,1,140,227,369,2021-08-14
"85 - 89",1,0,17,38,56,2021-08-14
">90",0,0,3,2,5,2021-08-14
