"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,43,6,50,2022-03-23
"20 - 24",4,3,100,0,107,2022-03-23
"25 - 29",4,2,174,11,191,2022-03-23
"30 - 34",6,0,309,11,326,2022-03-23
"35 - 39",5,2,389,25,421,2022-03-23
"40 - 44",6,6,482,47,541,2022-03-23
"45 - 49",12,9,862,88,971,2022-03-23
"50 - 54",19,13,1364,206,1602,2022-03-23
"55 - 59",23,15,1832,359,2229,2022-03-23
"60 - 64",27,27,1982,640,2676,2022-03-23
"65 - 69",36,26,1926,987,2975,2022-03-23
"70 - 74",28,37,1672,1291,3028,2022-03-23
"75 - 79",20,24,873,914,1831,2022-03-23
"80 - 84",4,6,199,286,495,2022-03-23
"85 - 89",3,1,32,49,85,2022-03-23
">90",2,1,3,3,9,2022-03-23
