"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,1,36,4,43,2022-01-06
"20 - 24",4,2,78,0,84,2022-01-06
"25 - 29",4,7,151,10,172,2022-01-06
"30 - 34",6,8,281,11,306,2022-01-06
"35 - 39",6,7,348,21,382,2022-01-06
"40 - 44",10,16,437,40,503,2022-01-06
"45 - 49",15,35,781,86,917,2022-01-06
"50 - 54",30,45,1267,180,1522,2022-01-06
"55 - 59",45,54,1686,325,2110,2022-01-06
"60 - 64",45,71,1820,586,2522,2022-01-06
"65 - 69",48,73,1763,904,2788,2022-01-06
"70 - 74",31,69,1536,1224,2860,2022-01-06
"75 - 79",28,40,781,854,1703,2022-01-06
"80 - 84",7,5,168,271,451,2022-01-06
"85 - 89",1,1,25,45,72,2022-01-06
">90",0,1,3,3,7,2022-01-06
