"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,5,37,6,49,2022-02-05
"20 - 24",6,5,82,0,93,2022-02-05
"25 - 29",2,4,164,11,181,2022-02-05
"30 - 34",3,5,288,11,307,2022-02-05
"35 - 39",8,5,369,21,403,2022-02-05
"40 - 44",10,6,458,41,515,2022-02-05
"45 - 49",19,13,824,88,944,2022-02-05
"50 - 54",28,22,1319,192,1561,2022-02-05
"55 - 59",33,30,1753,343,2159,2022-02-05
"60 - 64",27,36,1902,610,2575,2022-02-05
"65 - 69",38,38,1838,945,2859,2022-02-05
"70 - 74",29,31,1589,1255,2904,2022-02-05
"75 - 79",19,15,823,879,1736,2022-02-05
"80 - 84",5,1,180,273,459,2022-02-05
"85 - 89",1,0,28,47,76,2022-02-05
">90",0,0,4,3,7,2022-02-05
