"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,1,50,7,61,2022-08-26
"20 - 24",3,0,114,1,118,2022-08-26
"25 - 29",1,1,190,12,204,2022-08-26
"30 - 34",4,0,326,14,344,2022-08-26
"35 - 39",3,1,405,26,435,2022-08-26
"40 - 44",4,3,513,50,570,2022-08-26
"45 - 49",3,2,898,94,997,2022-08-26
"50 - 54",7,2,1417,218,1644,2022-08-26
"55 - 59",12,4,1920,382,2318,2022-08-26
"60 - 64",15,6,2090,681,2792,2022-08-26
"65 - 69",12,12,2062,1024,3110,2022-08-26
"70 - 74",21,5,1794,1347,3167,2022-08-26
"75 - 79",10,5,990,960,1965,2022-08-26
"80 - 84",6,1,249,312,568,2022-08-26
"85 - 89",1,0,50,55,106,2022-08-26
">90",0,1,9,6,16,2022-08-26
