"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,38,6,46,2022-03-07
"20 - 24",7,1,93,0,101,2022-03-07
"25 - 29",7,1,169,11,188,2022-03-07
"30 - 34",8,2,298,11,319,2022-03-07
"35 - 39",5,1,386,24,416,2022-03-07
"40 - 44",9,3,475,44,531,2022-03-07
"45 - 49",12,5,854,88,959,2022-03-07
"50 - 54",20,12,1354,203,1589,2022-03-07
"55 - 59",35,15,1811,352,2213,2022-03-07
"60 - 64",30,35,1954,624,2643,2022-03-07
"65 - 69",32,34,1893,968,2927,2022-03-07
"70 - 74",27,31,1642,1272,2972,2022-03-07
"75 - 79",21,19,850,903,1793,2022-03-07
"80 - 84",4,3,190,281,478,2022-03-07
"85 - 89",0,1,31,48,80,2022-03-07
">90",0,0,3,3,6,2022-03-07
