"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,23,3,27,2021-08-18
"20 - 24",4,1,53,0,58,2021-08-18
"25 - 29",5,7,105,7,124,2021-08-18
"30 - 34",2,6,176,6,190,2021-08-18
"35 - 39",9,9,211,15,244,2021-08-18
"40 - 44",5,8,323,27,363,2021-08-18
"45 - 49",10,14,615,67,706,2021-08-18
"50 - 54",14,30,1028,145,1217,2021-08-18
"55 - 59",14,19,1413,256,1702,2021-08-18
"60 - 64",17,26,1506,459,2008,2021-08-18
"65 - 69",10,42,1503,727,2282,2021-08-18
"70 - 74",13,26,1328,1001,2368,2021-08-18
"75 - 79",11,16,661,691,1379,2021-08-18
"80 - 84",1,1,140,227,369,2021-08-18
"85 - 89",0,0,18,38,56,2021-08-18
">90",0,0,3,2,5,2021-08-18
