"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,1,36,4,43,2022-01-09
"20 - 24",4,2,78,0,84,2022-01-09
"25 - 29",6,5,152,10,173,2022-01-09
"30 - 34",7,7,281,11,306,2022-01-09
"35 - 39",6,5,351,21,383,2022-01-09
"40 - 44",9,15,439,40,503,2022-01-09
"45 - 49",18,31,783,86,918,2022-01-09
"50 - 54",27,47,1272,181,1527,2022-01-09
"55 - 59",39,54,1696,328,2117,2022-01-09
"60 - 64",40,72,1833,586,2531,2022-01-09
"65 - 69",59,62,1765,909,2795,2022-01-09
"70 - 74",31,62,1546,1227,2866,2022-01-09
"75 - 79",27,41,785,855,1708,2022-01-09
"80 - 84",9,3,168,271,451,2022-01-09
"85 - 89",1,0,26,45,72,2022-01-09
">90",1,0,3,3,7,2022-01-09
