"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,1,50,7,60,2022-08-12
"20 - 24",4,1,111,1,117,2022-08-12
"25 - 29",1,0,188,12,201,2022-08-12
"30 - 34",5,1,325,14,345,2022-08-12
"35 - 39",2,1,405,26,434,2022-08-12
"40 - 44",6,3,510,50,569,2022-08-12
"45 - 49",3,4,896,93,996,2022-08-12
"50 - 54",6,2,1415,218,1641,2022-08-12
"55 - 59",14,5,1912,378,2309,2022-08-12
"60 - 64",13,10,2084,678,2785,2022-08-12
"65 - 69",18,7,2050,1021,3096,2022-08-12
"70 - 74",22,14,1783,1342,3161,2022-08-12
"75 - 79",18,7,976,957,1958,2022-08-12
"80 - 84",8,3,244,311,566,2022-08-12
"85 - 89",0,0,49,55,104,2022-08-12
">90",0,0,9,6,15,2022-08-12
