"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,1,46,6,55,2022-06-09
"20 - 24",4,0,108,0,112,2022-06-09
"25 - 29",4,0,182,11,197,2022-06-09
"30 - 34",4,1,315,13,333,2022-06-09
"35 - 39",4,1,397,26,428,2022-06-09
"40 - 44",7,1,500,48,556,2022-06-09
"45 - 49",7,0,887,92,986,2022-06-09
"50 - 54",13,1,1397,213,1624,2022-06-09
"55 - 59",19,7,1881,370,2277,2022-06-09
"60 - 64",13,3,2057,665,2738,2022-06-09
"65 - 69",25,7,2010,1008,3050,2022-06-09
"70 - 74",15,8,1754,1335,3112,2022-06-09
"75 - 79",19,3,938,942,1902,2022-06-09
"80 - 84",4,1,228,302,535,2022-06-09
"85 - 89",0,0,46,53,99,2022-06-09
">90",0,0,7,5,12,2022-06-09
