"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,55,7,65,2022-11-15
"20 - 24",4,0,116,3,123,2022-11-15
"25 - 29",2,0,194,13,209,2022-11-15
"30 - 34",3,0,330,14,347,2022-11-15
"35 - 39",3,3,411,26,443,2022-11-15
"40 - 44",3,0,525,52,580,2022-11-15
"45 - 49",3,1,907,97,1008,2022-11-15
"50 - 54",12,0,1435,221,1668,2022-11-15
"55 - 59",13,3,1941,386,2343,2022-11-15
"60 - 64",13,7,2119,687,2826,2022-11-15
"65 - 69",20,4,2092,1041,3157,2022-11-15
"70 - 74",18,13,1844,1371,3246,2022-11-15
"75 - 79",17,9,1015,979,2020,2022-11-15
"80 - 84",15,3,270,322,610,2022-11-15
"85 - 89",4,1,59,62,126,2022-11-15
">90",0,0,13,9,22,2022-11-15
