"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,2,36,5,44,2022-01-17
"20 - 24",2,1,80,0,83,2022-01-17
"25 - 29",6,3,156,10,175,2022-01-17
"30 - 34",6,3,285,11,305,2022-01-17
"35 - 39",7,8,355,21,391,2022-01-17
"40 - 44",11,9,447,40,507,2022-01-17
"45 - 49",22,20,800,86,928,2022-01-17
"50 - 54",28,38,1290,186,1542,2022-01-17
"55 - 59",37,46,1717,335,2135,2022-01-17
"60 - 64",46,53,1857,595,2551,2022-01-17
"65 - 69",49,57,1796,921,2823,2022-01-17
"70 - 74",29,52,1562,1234,2877,2022-01-17
"75 - 79",23,27,797,868,1715,2022-01-17
"80 - 84",7,2,173,272,454,2022-01-17
"85 - 89",0,0,27,46,73,2022-01-17
">90",1,0,3,3,7,2022-01-17
