"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,25,3,29,2021-09-11
"20 - 24",5,0,56,0,61,2021-09-11
"25 - 29",8,3,113,7,131,2021-09-11
"30 - 34",6,11,191,7,215,2021-09-11
"35 - 39",7,10,233,15,265,2021-09-11
"40 - 44",9,10,334,30,383,2021-09-11
"45 - 49",7,15,639,67,728,2021-09-11
"50 - 54",11,29,1064,150,1254,2021-09-11
"55 - 59",11,29,1442,263,1745,2021-09-11
"60 - 64",19,30,1535,471,2055,2021-09-11
"65 - 69",9,35,1530,739,2313,2021-09-11
"70 - 74",14,18,1348,1015,2395,2021-09-11
"75 - 79",4,17,674,707,1402,2021-09-11
"80 - 84",3,3,142,230,378,2021-09-11
"85 - 89",2,1,18,39,60,2021-09-11
">90",0,0,3,2,5,2021-09-11
