"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,50,7,60,2022-09-12
"20 - 24",3,1,113,1,118,2022-09-12
"25 - 29",1,0,191,12,204,2022-09-12
"30 - 34",4,0,323,14,341,2022-09-12
"35 - 39",3,0,404,26,433,2022-09-12
"40 - 44",4,0,514,50,568,2022-09-12
"45 - 49",5,0,896,95,996,2022-09-12
"50 - 54",8,4,1419,219,1650,2022-09-12
"55 - 59",9,2,1922,382,2315,2022-09-12
"60 - 64",11,7,2089,681,2788,2022-09-12
"65 - 69",13,10,2057,1026,3106,2022-09-12
"70 - 74",16,3,1801,1348,3168,2022-09-12
"75 - 79",7,2,989,961,1959,2022-09-12
"80 - 84",9,2,248,312,571,2022-09-12
"85 - 89",1,1,51,55,108,2022-09-12
">90",0,1,9,7,17,2022-09-12
