"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,26,3,30,2021-10-05
"20 - 24",4,0,60,0,64,2021-10-05
"25 - 29",5,5,118,7,135,2021-10-05
"30 - 34",3,2,211,7,223,2021-10-05
"35 - 39",7,8,244,17,276,2021-10-05
"40 - 44",9,9,347,32,397,2021-10-05
"45 - 49",8,5,657,69,739,2021-10-05
"50 - 54",19,17,1082,155,1273,2021-10-05
"55 - 59",17,13,1470,271,1771,2021-10-05
"60 - 64",26,20,1556,478,2080,2021-10-05
"65 - 69",15,20,1550,748,2333,2021-10-05
"70 - 74",13,24,1368,1023,2428,2021-10-05
"75 - 79",8,10,678,714,1410,2021-10-05
"80 - 84",2,1,144,234,381,2021-10-05
"85 - 89",0,0,19,40,59,2021-10-05
">90",0,0,3,2,5,2021-10-05
