"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,38,6,46,2022-03-13
"20 - 24",7,3,94,0,104,2022-03-13
"25 - 29",5,1,172,11,189,2022-03-13
"30 - 34",9,2,300,12,323,2022-03-13
"35 - 39",5,1,386,24,416,2022-03-13
"40 - 44",4,4,480,44,532,2022-03-13
"45 - 49",7,7,859,88,961,2022-03-13
"50 - 54",19,10,1359,203,1591,2022-03-13
"55 - 59",25,15,1822,354,2216,2022-03-13
"60 - 64",37,25,1961,630,2653,2022-03-13
"65 - 69",35,30,1903,973,2941,2022-03-13
"70 - 74",34,32,1647,1278,2991,2022-03-13
"75 - 79",18,20,858,906,1802,2022-03-13
"80 - 84",3,6,190,283,482,2022-03-13
"85 - 89",0,0,32,48,80,2022-03-13
">90",0,0,3,3,6,2022-03-13
