"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,37,5,44,2022-01-23
"20 - 24",2,2,80,0,84,2022-01-23
"25 - 29",4,2,159,10,175,2022-01-23
"30 - 34",3,3,289,11,306,2022-01-23
"35 - 39",8,5,360,21,394,2022-01-23
"40 - 44",7,9,454,40,510,2022-01-23
"45 - 49",18,19,808,86,931,2022-01-23
"50 - 54",30,32,1299,188,1549,2022-01-23
"55 - 59",35,38,1732,337,2142,2022-01-23
"60 - 64",34,48,1880,599,2561,2022-01-23
"65 - 69",39,45,1817,931,2832,2022-01-23
"70 - 74",24,45,1574,1243,2886,2022-01-23
"75 - 79",22,21,806,872,1721,2022-01-23
"80 - 84",6,3,174,272,455,2022-01-23
"85 - 89",0,0,27,46,73,2022-01-23
">90",1,0,3,3,7,2022-01-23
