"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,3,33,4,42,2021-12-28
"20 - 24",5,4,75,0,84,2021-12-28
"25 - 29",6,3,148,9,166,2021-12-28
"30 - 34",14,7,267,11,299,2021-12-28
"35 - 39",11,9,336,20,376,2021-12-28
"40 - 44",10,16,428,38,492,2021-12-28
"45 - 49",26,32,767,83,908,2021-12-28
"50 - 54",29,52,1246,174,1501,2021-12-28
"55 - 59",54,75,1647,312,2088,2021-12-28
"60 - 64",44,98,1780,572,2494,2021-12-28
"65 - 69",51,97,1732,878,2758,2021-12-28
"70 - 74",43,83,1511,1194,2831,2021-12-28
"75 - 79",34,49,763,839,1685,2021-12-28
"80 - 84",6,3,164,269,442,2021-12-28
"85 - 89",1,0,24,45,70,2021-12-28
">90",0,0,3,3,6,2021-12-28
