"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,46,6,54,2022-04-14
"20 - 24",5,1,106,0,112,2022-04-14
"25 - 29",4,1,176,11,192,2022-04-14
"30 - 34",7,1,310,13,331,2022-04-14
"35 - 39",3,0,394,26,423,2022-04-14
"40 - 44",7,8,491,47,553,2022-04-14
"45 - 49",8,6,875,92,981,2022-04-14
"50 - 54",16,6,1383,210,1615,2022-04-14
"55 - 59",25,11,1854,364,2254,2022-04-14
"60 - 64",23,15,2022,651,2711,2022-04-14
"65 - 69",34,20,1967,995,3016,2022-04-14
"70 - 74",30,18,1709,1314,3071,2022-04-14
"75 - 79",24,12,905,929,1870,2022-04-14
"80 - 84",7,7,211,295,520,2022-04-14
"85 - 89",2,1,40,50,93,2022-04-14
">90",1,0,5,4,10,2022-04-14
