"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,1,36,4,43,2022-01-13
"20 - 24",4,2,78,0,84,2022-01-13
"25 - 29",6,6,153,10,175,2022-01-13
"30 - 34",7,4,284,11,306,2022-01-13
"35 - 39",7,7,353,21,388,2022-01-13
"40 - 44",12,13,442,40,507,2022-01-13
"45 - 49",25,22,792,86,925,2022-01-13
"50 - 54",26,43,1285,185,1539,2022-01-13
"55 - 59",32,50,1712,332,2126,2022-01-13
"60 - 64",42,63,1845,593,2543,2022-01-13
"65 - 69",56,60,1780,916,2812,2022-01-13
"70 - 74",31,55,1556,1230,2872,2022-01-13
"75 - 79",23,36,794,860,1713,2022-01-13
"80 - 84",7,2,172,271,452,2022-01-13
"85 - 89",0,0,27,46,73,2022-01-13
">90",1,0,3,3,7,2022-01-13
