"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,64,7,73,2023-03-16
"20 - 24",1,0,124,3,128,2023-03-16
"25 - 29",0,0,201,13,214,2023-03-16
"30 - 34",0,1,336,14,351,2023-03-16
"35 - 39",3,0,425,28,456,2023-03-16
"40 - 44",1,1,536,55,593,2023-03-16
"45 - 49",3,1,921,100,1025,2023-03-16
"50 - 54",5,4,1465,233,1707,2023-03-16
"55 - 59",8,6,1986,397,2397,2023-03-16
"60 - 64",11,11,2180,698,2900,2023-03-16
"65 - 69",16,12,2161,1075,3264,2023-03-16
"70 - 74",13,18,1941,1402,3374,2023-03-16
"75 - 79",19,12,1091,1012,2134,2023-03-16
"80 - 84",7,3,324,346,680,2023-03-16
"85 - 89",4,1,76,75,156,2023-03-16
">90",1,1,18,10,30,2023-03-16
