"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,51,7,61,2022-10-14
"20 - 24",5,1,113,2,121,2022-10-14
"25 - 29",2,2,192,12,208,2022-10-14
"30 - 34",2,1,328,14,345,2022-10-14
"35 - 39",2,0,408,26,436,2022-10-14
"40 - 44",4,0,519,51,574,2022-10-14
"45 - 49",4,1,902,96,1003,2022-10-14
"50 - 54",11,0,1426,219,1656,2022-10-14
"55 - 59",12,6,1932,383,2333,2022-10-14
"60 - 64",12,7,2101,682,2802,2022-10-14
"65 - 69",17,3,2070,1031,3121,2022-10-14
"70 - 74",21,12,1817,1350,3200,2022-10-14
"75 - 79",17,2,1001,968,1988,2022-10-14
"80 - 84",11,1,257,321,590,2022-10-14
"85 - 89",5,3,54,58,120,2022-10-14
">90",1,0,12,9,22,2022-10-14
