"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,3,33,4,42,2021-12-30
"20 - 24",4,3,77,0,84,2021-12-30
"25 - 29",4,2,150,10,166,2021-12-30
"30 - 34",11,6,273,11,301,2021-12-30
"35 - 39",8,7,341,20,376,2021-12-30
"40 - 44",8,18,431,38,495,2021-12-30
"45 - 49",19,35,772,84,910,2021-12-30
"50 - 54",26,49,1256,177,1508,2021-12-30
"55 - 59",48,73,1660,315,2096,2021-12-30
"60 - 64",40,93,1794,577,2504,2021-12-30
"65 - 69",50,87,1745,887,2769,2021-12-30
"70 - 74",33,75,1522,1206,2836,2021-12-30
"75 - 79",28,44,772,843,1687,2021-12-30
"80 - 84",5,4,167,269,445,2021-12-30
"85 - 89",1,0,24,45,70,2021-12-30
">90",0,1,3,3,7,2021-12-30
