"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,45,6,54,2022-04-09
"20 - 24",4,1,106,0,111,2022-04-09
"25 - 29",4,2,176,11,193,2022-04-09
"30 - 34",7,3,310,12,332,2022-04-09
"35 - 39",3,0,394,26,423,2022-04-09
"40 - 44",7,6,490,47,550,2022-04-09
"45 - 49",8,4,873,91,976,2022-04-09
"50 - 54",15,7,1381,209,1612,2022-04-09
"55 - 59",28,10,1849,364,2251,2022-04-09
"60 - 64",23,19,2018,648,2708,2022-04-09
"65 - 69",28,17,1964,994,3003,2022-04-09
"70 - 74",32,21,1701,1309,3063,2022-04-09
"75 - 79",25,13,898,927,1863,2022-04-09
"80 - 84",10,7,208,290,515,2022-04-09
"85 - 89",4,1,37,50,92,2022-04-09
">90",1,1,4,4,10,2022-04-09
