"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,28,4,33,2021-11-17
"20 - 24",3,4,64,0,71,2021-11-17
"25 - 29",4,5,132,8,149,2021-11-17
"30 - 34",5,9,225,7,246,2021-11-17
"35 - 39",9,12,275,19,315,2021-11-17
"40 - 44",10,17,375,33,435,2021-11-17
"45 - 49",15,19,686,72,792,2021-11-17
"50 - 54",30,33,1122,163,1348,2021-11-17
"55 - 59",21,39,1519,279,1858,2021-11-17
"60 - 64",26,75,1619,512,2232,2021-11-17
"65 - 69",21,71,1601,786,2479,2021-11-17
"70 - 74",31,55,1401,1078,2565,2021-11-17
"75 - 79",11,55,704,739,1509,2021-11-17
"80 - 84",7,3,155,250,415,2021-11-17
"85 - 89",0,2,20,42,64,2021-11-17
">90",0,0,3,2,5,2021-11-17
