"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,62,8,71,2023-02-09
"20 - 24",2,0,120,2,124,2023-02-09
"25 - 29",0,0,198,13,211,2023-02-09
"30 - 34",2,0,334,14,350,2023-02-09
"35 - 39",3,0,422,27,452,2023-02-09
"40 - 44",0,0,532,54,586,2023-02-09
"45 - 49",3,0,917,97,1017,2023-02-09
"50 - 54",8,1,1456,229,1694,2023-02-09
"55 - 59",7,3,1974,395,2379,2023-02-09
"60 - 64",14,4,2162,694,2874,2023-02-09
"65 - 69",13,5,2146,1068,3232,2023-02-09
"70 - 74",13,8,1907,1393,3321,2023-02-09
"75 - 79",13,6,1072,1001,2092,2023-02-09
"80 - 84",11,1,309,338,659,2023-02-09
"85 - 89",5,2,65,70,142,2023-02-09
">90",0,0,16,9,25,2023-02-09
