"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,2,28,3,33,2021-11-04
"20 - 24",4,1,61,0,66,2021-11-04
"25 - 29",3,6,128,8,145,2021-11-04
"30 - 34",1,5,220,7,233,2021-11-04
"35 - 39",5,7,266,18,296,2021-11-04
"40 - 44",3,13,370,33,419,2021-11-04
"45 - 49",9,10,675,70,764,2021-11-04
"50 - 54",9,27,1112,163,1311,2021-11-04
"55 - 59",14,32,1503,274,1823,2021-11-04
"60 - 64",22,38,1596,497,2153,2021-11-04
"65 - 69",24,49,1574,769,2416,2021-11-04
"70 - 74",13,48,1389,1052,2502,2021-11-04
"75 - 79",14,18,693,726,1451,2021-11-04
"80 - 84",4,3,149,244,400,2021-11-04
"85 - 89",1,0,19,41,61,2021-11-04
">90",0,0,3,2,5,2021-11-04
