"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,2,36,7,46,2022-02-08
"20 - 24",8,3,84,0,95,2022-02-08
"25 - 29",2,4,164,11,181,2022-02-08
"30 - 34",5,4,288,11,308,2022-02-08
"35 - 39",9,5,371,21,406,2022-02-08
"40 - 44",10,5,461,42,518,2022-02-08
"45 - 49",17,15,827,87,946,2022-02-08
"50 - 54",29,18,1321,194,1562,2022-02-08
"55 - 59",35,35,1760,344,2174,2022-02-08
"60 - 64",29,33,1908,613,2583,2022-02-08
"65 - 69",41,37,1841,949,2868,2022-02-08
"70 - 74",34,30,1593,1256,2913,2022-02-08
"75 - 79",19,22,823,880,1744,2022-02-08
"80 - 84",5,6,180,273,464,2022-02-08
"85 - 89",1,0,28,47,76,2022-02-08
">90",0,0,4,3,7,2022-02-08
