"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,2,28,4,34,2021-11-24
"20 - 24",5,3,65,0,73,2021-11-24
"25 - 29",6,4,133,8,151,2021-11-24
"30 - 34",12,6,228,7,253,2021-11-24
"35 - 39",7,12,286,20,325,2021-11-24
"40 - 44",9,18,387,33,447,2021-11-24
"45 - 49",11,26,698,73,808,2021-11-24
"50 - 54",32,39,1136,164,1371,2021-11-24
"55 - 59",30,62,1530,282,1904,2021-11-24
"60 - 64",34,88,1632,520,2274,2021-11-24
"65 - 69",30,97,1612,799,2538,2021-11-24
"70 - 74",21,92,1418,1094,2625,2021-11-24
"75 - 79",20,52,708,758,1538,2021-11-24
"80 - 84",8,6,156,251,421,2021-11-24
"85 - 89",1,3,20,42,66,2021-11-24
">90",0,0,3,2,5,2021-11-24
