"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,1,56,7,66,2022-11-23
"20 - 24",4,0,116,3,123,2022-11-23
"25 - 29",2,0,194,13,209,2022-11-23
"30 - 34",3,0,330,14,347,2022-11-23
"35 - 39",3,3,412,26,444,2022-11-23
"40 - 44",2,0,527,52,581,2022-11-23
"45 - 49",4,1,907,97,1009,2022-11-23
"50 - 54",9,0,1438,221,1668,2022-11-23
"55 - 59",12,4,1944,387,2347,2022-11-23
"60 - 64",14,5,2120,687,2826,2022-11-23
"65 - 69",24,7,2094,1042,3167,2022-11-23
"70 - 74",17,10,1849,1372,3248,2022-11-23
"75 - 79",20,7,1018,981,2026,2022-11-23
"80 - 84",12,1,275,324,612,2022-11-23
"85 - 89",3,1,60,62,126,2022-11-23
">90",0,0,13,9,22,2022-11-23
