"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,27,3,30,2021-10-15
"20 - 24",3,0,61,0,64,2021-10-15
"25 - 29",7,4,119,7,137,2021-10-15
"30 - 34",2,3,214,7,226,2021-10-15
"35 - 39",4,5,253,17,279,2021-10-15
"40 - 44",6,7,357,33,403,2021-10-15
"45 - 49",9,4,662,70,745,2021-10-15
"50 - 54",11,16,1095,160,1282,2021-10-15
"55 - 59",17,12,1480,274,1783,2021-10-15
"60 - 64",19,18,1574,481,2092,2021-10-15
"65 - 69",9,27,1560,754,2350,2021-10-15
"70 - 74",9,21,1377,1033,2440,2021-10-15
"75 - 79",6,14,682,716,1418,2021-10-15
"80 - 84",3,7,145,235,390,2021-10-15
"85 - 89",0,0,19,41,60,2021-10-15
">90",0,0,3,2,5,2021-10-15
