"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,26,3,30,2021-09-27
"20 - 24",5,1,58,0,64,2021-09-27
"25 - 29",4,4,117,7,132,2021-09-27
"30 - 34",6,5,206,7,224,2021-09-27
"35 - 39",6,8,241,15,270,2021-09-27
"40 - 44",3,14,346,30,393,2021-09-27
"45 - 49",15,7,647,69,738,2021-09-27
"50 - 54",20,21,1074,154,1269,2021-09-27
"55 - 59",15,23,1458,269,1765,2021-09-27
"60 - 64",20,27,1551,474,2072,2021-09-27
"65 - 69",16,26,1541,745,2328,2021-09-27
"70 - 74",8,26,1364,1020,2418,2021-09-27
"75 - 79",8,12,675,711,1406,2021-09-27
"80 - 84",2,2,143,233,380,2021-09-27
"85 - 89",0,0,19,40,59,2021-09-27
">90",0,0,3,2,5,2021-09-27
